"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00115870131430834,0.99086977613888,0.632,0.261,1,"HER2+","HYAL4"
0.00115899390202723,1.89692212610304,0.684,0.304,1,"HER2+","LRRN4CL"
0.001163994888242,1.47099355596767,0.421,0.043,1,"HER2+","LRP6"
0.001163994888242,3.32014666887601,0.421,0.043,1,"HER2+","FAHD2A"
0.001163994888242,3.33780357555692,0.421,0.043,1,"HER2+","PMEPA1"
0.001163994888242,3.41630315743547,0.421,0.043,1,"HER2+","SOX9"
0.001163994888242,2.63135137225254,0.421,0.043,1,"HER2+","TYMS"
0.001163994888242,2.07662782199114,0.421,0.043,1,"HER2+","CISD3"
0.00116987694871549,2.5240985364946,0.895,0.696,1,"HER2+","FBXO15"
0.00117012007378426,1.33249947198232,0.711,0.391,1,"HER2+","RHBDL2"
0.00117076380962599,2.72346891903541,0.842,0.609,1,"HER2+","KIAA0586"
0.00117076380962599,2.35909975664603,0.842,0.609,1,"HER2+","ECHDC2"
0.00117181073969768,2.69811942582354,0.684,0.391,1,"HER2+","ALG8"
0.00117915624064254,1.51115338484369,0.816,0.391,1,"HER2+","KCNV1"
0.00117966047670932,2.22282478831401,0.895,0.739,1,"HER2+","CYB561A3"
0.00118598148306887,2.58399495201834,0.368,0,1,"HER2+","RHBDF1"
0.00118598148306887,1.5314316994175,0.368,0,1,"HER2+","TEAD3"
0.00118598148306887,4.04813298750593,0.368,0,1,"HER2+","UBE2T"
0.00118598148306887,2.13689663918217,0.368,0,1,"HER2+","EPB41L4B"
0.00118598148306887,0.940348447283217,0.368,0,1,"HER2+","WHRN"
